,Unnamed: 0,Студент,Группа,Дисциплина,Семестр,Учебный год,Оценка,Специальность,Форма обучения,Квалификация,Статус
115474,118574,6F4162454B686E63496C314174773666416D71704A513D3D,5A69503244684C6A31414A456F4B576654335A576C513D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
118717,121899,32635553416B7153624F656D305959427143623530513D3D,694672466B38596E6767575457613968565833394E673D3D,Творческий проект,3,2016/2017,незачет,21.05.04 Горное дело,Очная,Специалист,Отчисленный
118718,121901,6B6C7248544835794868496358356F4A564A635173413D3D,694672466B38596E6767575457613968565833394E673D3D,Творческий проект,3,2016/2017,незачет,21.05.04 Горное дело,Очная,Специалист,Отчисленный
118719,121906,5A5A63434F6F314C447346532F7961734953535539673D3D,694672466B38596E6767575457613968565833394E673D3D,Творческий проект,3,2016/2017,незачет,21.05.04 Горное дело,Очная,Специалист,Отчисленный
119349,122554,76496C3957794958545743795847364E4C47674A79773D3D,37645148353658477A5861342F4770304E62666A46673D3D,Творческий проект,4,2016/2017,незачет,21.03.01 Нефтегазовое дело,Очная,Бакалавр,Отчисленный
120699,123934,657543436D39706C2B5761504B4B416A4674663043773D3D,704966684E45735535332F546955744F51305A4C31513D3D,Творческий проект,4,2016/2017,незачет,15.03.06 Мехатроника и робототехника,Очная,Бакалавр,Отчисленный
120700,123942,756F35332F656F52722B6A4C6D5734615049355A7A773D3D,704966684E45735535332F546955744F51305A4C31513D3D,Творческий проект,4,2016/2017,незачет,15.03.06 Мехатроника и робототехника,Очная,Бакалавр,Отчисленный
122003,125254,493969794C51624F73627A3664394F6D3455573949513D3D,6468745A714F416F34524465784C3468464F355766513D3D,Творческий проект,4,2016/2017,незачет,18.03.01 Химическая технология,Очная,Бакалавр,Отчисленный
122073,125337,5832344C55687646577747654335447571786E5457413D3D,55625641734C6D2B41634F2B4D5246563050397631513D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
122378,125649,6733564D37672F6D4E39446377643434676B704F62513D3D,55625641734C6D2B41634F2B4D5246563050397631513D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
122380,125679,4B4C637165516A6758397150376E71685131767A43773D3D,334E304E5971414D664D3852434957354A31515A7A773D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
122381,125688,456E2F656548532B4769387639776B4E77486B3533673D3D,6F46344857794F4D4C7552744B682B527275345674413D3D,Творческий проект,4,2016/2017,незачет,13.03.02 Электроэнергетика и электротехника,Очная,Бакалавр,Отчисленный
124087,127541,757765326376314F584561324A33794E5243664778773D3D,5254504474696E31476A365948704356427343317A413D3D,Творческий проект,4,2016/2017,незачет,14.03.02 Ядерные физика и технологии,Очная,Бакалавр,Отчисленный
124424,127924,616E6634467547386C7542395659544F764E374D50413D3D,59667457724C694B5A6D5551534C53794347316257673D3D,Творческий проект,4,2016/2017,незачет,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",Очная,Бакалавр,Отчисленный
124496,128005,35454279355A567A505749765847384B626F646371773D3D,4271754E6E66593767324570435A4A484D42774469773D3D,Творческий проект,4,2016/2017,незачет,15.03.01 Машиностроение,Очная,Бакалавр,Отчисленный
